id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,iata_code,score
28742,EDHE,small_airport,Uetersen/Heist Airport,53.64638901,9.704167366,23,EU,DE,DE-SH,Uetersen,0,,50
28751,EDWG,small_airport,Wangerooge Airport,53.78277969,7.913888931,7,EU,DE,DE-NI,Wangerooge,0,AGE,50
2230,EDFV,small_airport,Worms Airport,49.606945,8.368333,295,EU,DE,DE-RP,Worms,0,,50
2184,EDAC,medium_airport,Altenburg-Nobitz Airport,50.981945,12.506389,640,EU,DE,DE-TH,Altenburg,0,AOC,1050
2234,EDHI,medium_airport,Hamburg-Finkenwerder Airport,53.53527832,9.83555603,23,EU,DE,DE-HH,Hamburg,0,XFW,575
2287,EDWB,closed,Bremerhaven Airport,53.506943,8.572778,10,EU,DE,DE-HB,Bremerhaven,1,BRV,450
28590,EDXB,small_airport,Heide-Büsum Airport,54.15333176,8.901666641,7,EU,DE,DE-SH,Büsum,1,HEI,450
2747,ETOU,medium_airport,Wiesbaden Army Airfield,50.04980087,8.325400352,461,EU,DE,DE-HE,Wiesbaden,0,WIE,400
2232,EDGE,medium_airport,Eisenach-Kindel Airport,50.991604,10.47973,1112,EU,DE,DE-TH,Eisenach,0,EIB,250
2278,EDTY,medium_airport,Adolf Würth Airport,49.11833191,9.783888817,1299,EU,DE,DE-BW,Schwäbisch Hall,0,,250
2250,EDME,small_airport,Eggenfelden Airport,48.39611053,12.72361088,1342,EU,DE,DE-BY,Eggenfelden,0,,50
2286,EDVM,small_airport,Hildesheim Airport,52.18138885,9.946389198,292,EU,DE,DE-NI,Hildesheim,0,,50
2294,EDXJ,small_airport,Husum-Schwesing Airport,54.50999832,9.138333321,62,EU,DE,DE-SH,Husum,0,QHU,50
28608,EDRG,small_airport,Idar-Oberstein/Göttschied Airport,49.73222351,7.336111069,1575,EU,DE,DE-RP,Idar-Oberstein,0,,50
2197,EDBJ,small_airport,Jena-Schöngleina Airport,50.91527939,11.71444416,1247,EU,DE,DE-TH,Jena,0,,50
28546,EDBC,small_airport,Cochstedt Airport,51.85639954,11.42029953,594,EU,DE,DE-ST,Magdeburg,0,CSO,50
28644,EDLM,small_airport,Marl-Loemühle Airport,51.647202,7.16333,240,EU,DE,DE-NW,Marl,0,,50
28649,EDGM,small_airport,Mosbach-Lohrbach Airport,49.39888763,9.123888969,1818,EU,DE,DE-BW,Mosbach,0,,50
28650,EDMY,small_airport,Mühldorf Airport,48.27944565,12.50055599,1325,EU,DE,DE-BY,Mühldorf am Inn,0,,50
28525,EDOI,small_airport,Bienenfarm Airport,52.661667,12.745833,120,EU,DE,DE-BR,Nauen,0,,50
2240,EDLA,small_airport,Arnsberg-Menden Airport,51.48389053,7.898333073,794,EU,DE,DE-NW,Neheim-Hüsten,0,,50
28700,EDFB,small_airport,Reichelsheim Airport,50.3358345,8.878055573,397,EU,DE,DE-HE,Reichelsheim,0,,50
2259,EDOV,small_airport,Stendal-Borstel Airport,52.62888718,11.81861115,184,EU,DE,DE-ST,Stendal,0,,50
2194,EDAY,small_airport,Strausberg Airport,52.58055496,13.91666698,262,EU,DE,DE-BR,Strausberg,0,,50
28739,EDRM,small_airport,Traben-Trarbach/Mont Royal Airfield,49.967777,7.111944,919,EU,DE,DE-RP,Traben-Trarbach,0,,50
2267,EDRT,small_airport,Trier-Föhren Airport,49.863888,6.7875,666,EU,DE,DE-RP,Trier,0,,50
28764,EDFW,small_airport,Würzburg-Schenkenturm Airport,49.81778,9.8975,991,EU,DE,DE-BY,Würzburg,0,,50
317932,EDQA,medium_airport,Airport Bamberg-Breitenau,49.920403,10.914233,811,EU,DE,DE-BY,Bamberg,0,,0
301881,BER,closed,Berlin Brandenburg Airport (U.C.),52.35138889,13.49388889,157,EU,DE,DE-BR,Berlin,0,BER,0
2739,ETNL,medium_airport,Rostock-Laage Airport,53.91820145,12.27830029,138,EU,DE,DE-MV,Rostock,1,RLG,1050
